manufacturer,model,impedance_ohm,fs_hz,qts,qes,qms,vas_l,re_ohm,le_mh,sd_cm2,mms_g,mmd_g,cms_mm_per_n,rms_ns_per_m,bl_tm,xmax_mm,xmech_mm,vd_cm3,linear_travel_pp_mm,max_travel_pp_mm,xlin_mm,eta0_percent,ebp_hz,sensitivity_db,power_rms_w,power_handling_w,nominal_diameter_in,qa_as_printed,sensitivity_1w_1m_db,sensitivity_2v83_1m_db,le_frequency_hz,nominal_diameter_mm,overall_diameter_mm,overall_width_mm,overall_height_mm,overall_depth_mm,mounting_depth_mm,cutout_diameter_mm,bolt_circle_diameter_mm,mounting_hole_diameter_mm,mounting_hole_count,flange_thickness_mm,magnet_diameter_mm,magnet_depth_mm,voice_coil_diameter_mm,voice_coil_height_mm,voice_coil_former_height_mm,gap_height_mm,effective_diaphragm_diameter_mm,cone_dome_diameter_mm,ribbon_dimension_1_mm,ribbon_dimension_2_mm,overall_dimension_1_mm,overall_dimension_2_mm,overall_dimension_3_mm,cutout_dimension_1_mm,cutout_dimension_2_mm,tweeter_voice_coil_diameter_mm,tweeter_voice_coil_height_mm,tweeter_gap_height_mm,krm_microohm,erm,kxm_mh,exm,power_peak_w,frequency_min_hz,frequency_max_hz,crossover_frequency_hz,crossover_slope_db_per_oct,power_continuous_iec268_5_w,power_test_highpass_hz,power_test_highpass_slope_db_per_oct,net_weight_kg,magnet_weight_g,sensitivity_tolerance_db
SEAS,CA15RLY,8,44,0.34,0.42,1.88,14,5.6,0.82,80,7.7,,1.7,1.19,5.5,,,,10,,,,,87.5,,,,,,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,CA18RLY,8,42,0.47,0.56,2.92,32,5.8,1.05,136,10.6,,1.4,1.04,5.6,,,,10,,,,,90,,,,,,90,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,CA26RE4X,8,25,0.28,0.3,3.99,164,6.1,3.08,350,38.5,,1.1,1.66,11.6,,,,8,,,,,91,,,,,,91,1500,254,268.986,,,,,232.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,CA26RFX,8,29,0.34,0.4,2.14,129,6.3,1.95,350,36.1,,0.8,3.4,10.7,,,,14,,,,,90.5,,,,,,90.5,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,CC17RCY,8,34,0.28,0.32,2.23,45.1,5.7,10.65,130,10.5,,2.1,1.1,6.6,,,,6,,,,,92,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,D1001-04S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,D1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,D1004-04S,4,24,0.27,0.28,4.9,46,3.3,3.85,363,173,,0.26,5.4,18,,,,28,56,,,,85.5,,,,,,85.5,,,,,,,,,,,,,,,56,38,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,D21-RNX/DDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0006-06,6,700,,,,,4.6,0.05,,0.33,,,,3.5,,,,0.5,,,,,91,,,,,,91,,,,,,,,,,,,,,,26,1.5,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0011-06,6,500,,,,,4.6,0.05,7,0.37,,,,3.1,,,,1,,,,,89,,,,,,89,,,,,,,,,,,,,,,26,1.5,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0015-08S,8,38,0.36,0.43,2.22,14,5.5,0.49,75,9.5,,1.8,1.06,5.5,,,,8,14,,,,85.5,,,,,,85.5,,,,,,,,,,,,,,,26,14,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0017-08S,8,34,0.26,0.3,1.8,29.7326889216,6.1,0.65,126,15.5,,1.4,1.94,8.4,,,,10,,,,,88,,,,,,88,,,,,,,,,,,,,,,39,16,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0018-08S,8,34,0.42,0.49,2.91,30,6.1,0.65,126,15.5,,1.4,1.2,6.6,,,,10,19,,,,,,,,,,,,177.8,,,,,,,,,,,,,39,16,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0021-08S,8,45,0.36,0.42,2.5,6,5.6,0.43,50,7.5,,1.7,0.87,5.4,,,,6,9,,,,84,,,,,,84,,,120.396,,,,,99.06,,,,,,,26,12,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0022-08S,8,25,0.34,0.41,2.08,98,6.1,0.61,,26.2,,1.5,2.06,8.1,,,,10,21,,,,88,,,,,,88,,,,,,,,,,,,,,,39,16,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0026-08S,8,20,0.35,0.41,2.34,162,6.3,1.43,330,56.3,,1.1,3.21,10.7,,,,14,35,,,,,,,,,,,,254,,,,,,232.156,,,,,,,51,20,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0037-08S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0040-06,6,500,,,,,4.7,0.05,8,0.35,,,,3.5,,,,1,,,,,92.5,,,,,,92.5,,,,,,,,,,,,,,,26,1.5,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0041-08S,8,49,0.45,0.56,2.21,12,5.7,0.3,75,6.28,,1.7,0.93,4.6,,,,10,20,,,,86.5,,,,,,86.5,,127,,,,,,,,,,,,,26,16,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0042-08S,8,40,0.34,0.41,2.08,24,6.3,0.43,126,13.7,,1.2,1.77,7,,,,14,22,,,,87.5,,,,,,87.5,,177.8,,,,,,,,,,,,,39,20,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0043-06S,6,67,0.4,0.52,1.7,6,4.9,0.43,75,6.75,,0.8,1.77,5.3,,,,6,14,,,,88.5,,,,,,88.5,,127,,,,,,,,,,,,,26,12,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0044-08S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0045-08S,8,33,0.3,0.36,1.73,72,6.1,0.61,220,20,,1.2,2.6,8.8,,,,14,21,,,,90,,,,,,,,,,,,,,,,,,,,,39,20,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0046-08S,8,31,0.39,0.47,2.55,87,6.2,0.81,330,42.4,,0.6,3.52,10.9,,,,14,35,,,,89,,,,,,89,,254,268.986,,,,,232.156,,,,,,,51,20,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0047-04,4,500,,,,,,0.03,8,0.35,,,,3,,,,1.4,,,,,92,,,,,,92,,,,,,,,,,,,,,,26,1.1,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0049-04S,4,37,0.33,0.38,2.66,15,3,0.25,94,14.8,,1.3,1.34,5.3,,,,14,22,,,,88,,,,,,,,,,,,,,,,,,,,,39,20,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0049-08S,8,39,0.35,0.41,2.16,14,6.2,0.41,94,13.9,,1.2,1.64,7.3,,,,14,22,,,,85,,,,,,85,,,,,,,,,,,,,,,38,20,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0051-04/06S,4,37,0.49,0.58,3.24,15,3.2,0.27,94,14.6,,1.3,1.09,4.4,,,,14,22,,,,85,,,,,,,,,,,,,,,,,,,,,39,20,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0051-04/06S (tweeter),6,1200,,,,,4.8,0.05,7,0.3,,,,2.3,,,,0.5,,,,,90,,,,,,,,,,,,,,,,,,,,,26,1.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0055-06,6,620,,,,,4.6,0.06,11.9,0.47,,,,4.3,,,,1,,,,,95,,,,,,95,,,,,,,,,,,,,,,35,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0057-08/06S,8,85,0.54,0.74,1.99,5,6.3,0.46,131,15.3,,0.2,4.54,8.8,,,,6,12,,,,87,,,,,,,,,,,,,,,,,,,,,39,12,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0057-08/06S (tweeter),6,1670,,,,,5,0.05,,0.3,,,,3.1,,,,0.4,,,,,90,,,,,,,,,,,,,,,,,,,,,26,1.6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0058-06D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0060-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0060-08/06,8,98,0.62,0.86,2.16,3.7,6.2,0.62,131,15.7,,0.17,4.95,8.8,,,,6,12,,,,87,,,,,,,,,,,,,,,,,,,,,39,12,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0060-08/06 (tweeter),6,1430,,,,,5,0.05,,0.4,,,,3.1,,,,0.4,,,,,90,,,,,,,,,,,,,,,,,,,,,26,1.6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0073-08,8,36,0.34,0.36,4.73,17,6.4,0.12,94,14.2,,1.35,0.69,7.6,,,,14,22,,,,85.4,,,,,,85.4,,,,,,,,,,,,,,,39,20,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0074-08,8,32,,0.32,4.85,29,6.1,0.2,126,19,,1.3,0.79,8.5,,,,10,,,,,87,,,,,,,,,,,,,,,,,,,,,39,16,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0076-08,8,34,0.41,0.45,5.3,24,6.2,0.23,136,23.1,,0.95,0.93,8.3,,,,14,22,,,,85.6,,,,,,85.6,,,,,,,,,,,,,,,39,20,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0077-08,8,25,0.39,0.44,4.18,93,6.3,0.26,220,31.1,,1.35,1.15,8.3,,,,14,20,,,,87.3,,,,,,87.3,,,,,,,,,,,,,,,39,20,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0091-08,8,72,,0.49,2.2,3,5.6,0.27,50,6.9,,0.71,1.42,5.9,,,,6,,,,,85,,,,,,,,,,,,,,,,,,,,,26,12,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0096-08,8,35,,0.38,3.11,31,6.3,0.12,126,15,,1.36,1.07,7.4,,,,14,,,,,87.6,,,,,,,,,,,,,,,,,,,,,39,20,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0097-08,8,21,0.29,0.31,3.66,164,6.4,0.13,220,23.5,,2.39,0.86,8,,,,14,34,,,,89,,,,,,89,,,,,,,,,,,,,,,39,20,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0100-04D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0100-06 T29D001,4,530,,,,,3.8,0.01,8,0.36,,,,2.5,,,,1.4,,,,,91,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0103-06,6,377,,,,,4.8,0.13,41.2,3,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0110-04,4,515,,,,,3.6,0.01,8,0.37,,,,3.4,,,,1.4,,,,,91,,,,,,91,,,,,,,,,,,,,,,26,1.1,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0115-08,8,40,0.32,0.34,4.37,18,6.4,0.45,104,,,1.19,0.77,7.9,,,,14,22,,,,87.3,,,,,,87.3,,,,,,,,,,,,,,,39,20,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0121-04/06,4,38,0.29,0.3,4.95,18,3.1,0.16,94,12.4,,1.41,0.6,8,,,,14,22,,,,89,,,,,,,,,,,,,,,,,,,,,39,20,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,E0121-04/06 (tweeter),6,1490,,,,,4.7,0.02,,0.3,,,,2.8,,,,0.4,,,,,90,,,,,,,,,,,,,,,,,,,,,26,1.6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,ER15RLY,8,44,0.32,0.41,1.55,15,5.6,0.73,80,7.6,,1.7,1.43,5.5,,,,10,,,,,87.5,,,,,,87.5,4000,127,146.05,,,,,112.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,exotic_f8-x1-04,4,31,0.39,0.43,4.24,146,3,0.05,222,10.5,,2.08,0.57,4.2,,,,4.2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,exotic_f8-x1-08,8,32,0.44,0.5,4.2,143,5.7,0.07,222,10,,2.5,0.57,5.25,,,,4.2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,exotic-t35,6,600,,,,,4.6,0.06,11.9,0.47,,,,3.9,,,,1,,,,,94,,,,,,94,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,exotic-w8-08,8,36,0.24,0.25,5.1,78,6,0.43,212,13.9,,1.2,0.7,9.2,,,,6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,FA22RCZ-H1597,8,30,0.35,0.38,4.36,134,5.7,0.09,222,12.6,,2.2,0.63,6.4,,,,6,14,,,,,,,,,,,,203.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H0532-08,8,1700,,,,,6.2,0.05,4,0.23,,,,2.6,,,,0.5,,,,,88,,,,,,,,,,,,,,,,,,,,,19.5,1.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H0623,6,1700,,,,,6.2,0.05,4,0.23,,,,2.6,,,,0.5,,,,,88,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,h0737,8,1700,,,,,6.2,0.05,4,0.23,,,,2.6,,,,0.5,,,,,88,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H0737-08,8,1700,,,,,6.2,0.05,4,0.23,,,,2.6,,,,0.5,,,,,88,,,,,,,,,,,,,,,,,,,,,19.5,1.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H0831-06,6,1200,,,,,4.8,0.05,7.5,0.3,,,,3.5,,,,0.5,,,,,92,,,,,,,,,,,,,,,,,,,,,26,1.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H0881-06,6,550,,,,,4.8,0.05,7.6,0.25,,,,3.5,,,,0.5,,,,,91,,,,,,,,,,,,,,,,,,,,,26,1.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1085-08,8,33,0.31,0.37,2.01,38,5.6,0.92,125,12.7,,1.8,1.39,6.5,,,,8,16,,,,88,,,,,,88,,,,,,,,,,,,,,,26,14,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1141-08,8,44,0.35,0.43,2.1,12,5.5,0.84,75,8.1,,1.6,1.12,5.7,,,,10,20,,,,,,,,,,,,,,,,,,,,,,,,,26,16,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1147-06,6,600,,,,,4.8,0.05,7,0.33,,,,3.5,,,,0.5,,,,,92,,,,,,,,,,,,,,,,,,,,,26,1.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1149-06,6,550,,,,,4.6,0.05,7,0.3,,,,3.5,,,,0.5,,,,,90,,,,,,90,,,,,,,,,,,,,,,26,1.5,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,h1152,8,57,0.31,0.36,2.17,5,6.4,1.05,55,6.1,,1.3,1.04,6.35,,,,6,9,,,,86,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1152-08,8,57,0.31,0.36,2.17,5,6.4,1.05,55,6.1,,1.3,1.04,6.35,,,,6,9,,,,86,,,,,,,,101.6,120.396,,,,,95.758,,,,,,,26,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,h1189,6,550,,,,,4.8,0.05,7.5,0.37,,,,3.5,,,,0.5,,,,,90,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1189-06,6,550,,,,,4.8,0.05,,0.37,,,,3.5,,,,0.5,,,,,90,,,,,,90,,,,,,,,,,,,,,,26,1.5,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,h1192,8,20,0.24,0.26,3.28,108,6.1,3.47,230,41.6,,1.5,1.67,11.4,,,,14,21,,,,87,,,,,,87,,203.2,220.726,,,,,186.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1192-08,8,20,0.24,0.26,3.28,108,6.1,3.47,230,41.6,,1.5,1.67,11.4,,,,14,21,,,,87,,,,,,87,,,,,,,,,,,,,,,39,20,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1207-08,8,50,0.29,0.33,2.34,5,5.5,0.76,50,6.8,,1.5,0.94,6.1,,,,6,9,,,,85.5,,,,,,85.5,,,,,,,,,,,,,,,26,12,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,h1208,8,21,0.27,0.29,3.13,93,6.1,3.76,220,40,,1.4,1.76,10.7,,,,14,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1208-08,8,21,0.27,0.29,3.13,93,6.1,3.76,220,40,,1.4,1.76,10.7,,,,14,21,,,,86.5,,,,,,86.5,,,,,,,,,,,,,,,39,20,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,h1209,8,20,0.33,0.39,2.15,171,6.3,1.83,330,53,,1.2,3.3,10.7,,,,14,35,,,,,,,,,,,,254,268.986,,,,,232.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1209-08,8,20,0.33,0.39,2.15,171,6.3,1.83,330,53,,1.2,3.3,10.7,,,,14,35,,,,88,,,,,,88,,,,,,,,,,,,,,,51,20,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,h1212,6,550,,,,,4.8,0.05,7.5,0.34,,,,3.5,,,,0.5,,,,,91.5,,,,,,91.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1212-06,6,550,,,,,4.8,0.05,7.5,0.34,,,,3.5,,,,0.5,,,,,91.5,,,,,,,,,,,,,,,,,,,,,26,1.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,h1215,8,35,0.31,0.37,1.9,33,5.8,1.2,136,14,,1.4,1.72,7.2,,,,12,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1215-08,8,35,0.31,0.37,1.9,33,5.8,1.2,136,14,,1.4,1.72,7.2,,,,12,22,,,,88.5,,,,,,88.5,,,,,,,,,,,,,,,39,18,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,h1216,8,44,0.34,0.42,1.88,14,5.6,0.82,80,7.7,,1.7,1.19,5.5,,,,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1216-08,8,44,0.34,0.42,1.88,14,5.6,0.82,80,7.7,,1.7,1.19,5.5,,,,10,20,,,,87.5,,,,,,87.5,,127,146.05,,,,,112.014,,,,,,,26,16,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,h1217,8,42,0.47,0.56,2.92,32,5.8,1.05,136,10.6,,1.4,1.04,5.6,,,,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1217-08,8,42,0.47,0.56,2.92,32,5.8,1.05,136,10.6,,1.4,1.04,5.6,,,,10,20,,,,90,,,,,,90,,,,,,,,,,,,,,,26,16,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,h1224,8,36,0.31,0.36,2.09,30,5.8,1.06,126,13.6,,1.4,1.56,7.2,,,,12,22,,,,,,,,,,,,177.8,176.022,,,,,145.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1224-08,8,36,0.31,0.36,2.09,30,5.8,1.06,126,13.6,,1.4,1.56,7.2,,,,12,22,,,,,,,,,,,,,,,,,,,,,,,,,39,18,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1252-08,8,23,0.32,0.38,2.07,112,6,1.43,220,27,,1.8,2.01,8.15,,,,12,21,,,,88,,,,,,88,,,,,,,,,,,,,,,39,18,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,h1262,8,51,0.25,0.3,1.57,12,5.8,0.73,80,7.1,,1.4,1.53,6.8,,,,3.4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1262-08,8,51,0.25,0.3,1.57,12,5.8,0.73,80,,,1.4,1.53,6.8,,,,3.4,14,,,,,,,,,,,,,,,,,,,,,,,,,26,9.4,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1280-06,6,1050,,,,,4.9,0.05,5.9,0.25,,,,3.3,,,,0.4,,,,,91,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1280-06,8,1700,,,,,6.2,0.05,4,0.23,,,,2.6,,,,0.5,,,,,88,,,,,,,,,,,,,,,,,,,,,19.5,1.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,h1283,6,1100,,,,,4.9,0.05,5.9,0.23,,,,3.3,,,,0.5,,,,,92,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1283-06,6,,,,,,4.9,0.05,5.9,0.23,,,,3.3,,,,0.5,,,,,92,,,,,,92,,,,,,,,,,,,,,,19.5,1.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,h1288,8,29,0.41,0.52,2.04,97,6.1,1,230,20.9,,1.4,2.05,7,,,,12,26,,,,,,,,,,,,203.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1288-08,8,29,0.41,0.52,2.04,97,6.1,1,230,20.9,,1.4,2.05,7,,,,12,26,,,,89.5,,,,,,89.5,,,,,,,,,,,,,,,39,18,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,h1304,8,68,0.56,0.74,2.42,5,6.3,0.31,55,4.58,,1.2,0.85,4.2,,,,1.8,,,,,86,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1304-08,8,68,0.56,0.74,2.42,5,6.3,0.31,55,4.58,,1.2,0.85,4.2,,,,1.8,,,,,86,,,,,,86,,,,,,,,,,,,,,,26,5.8,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,h1305,8,29,0.34,0.4,2.14,129,6.3,1.95,350,36.1,,0.8,3.4,10.7,,,,14,35,,,,90.5,,,,,,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1305-08,8,29,0.34,0.4,2.14,129,6.3,1.95,350,36.1,,0.8,3.4,10.7,,,,14,35,,,,90.5,,,,,,90.5,,,,,,,,,,,,,,,51,20,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,h1316,8,25,0.28,0.3,3.99,164,6.1,3.08,350,38.5,,1.1,1.66,11.6,,,,8,20,,,,91,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1316-08,8,25,0.28,0.3,3.99,164,6.1,3.08,350,38.5,,1.1,1.66,11.6,,,,8,20,,,,91,,,,,,91,,,,,,,,,,,,,,,39,14,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,h1318,6,950,,,,,4.7,0.05,8,0.35,,,,3.5,,,,0.5,,,,,92,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1318-06,6,950,,,,,4.7,0.05,8,0.35,,,,3.5,,,,0.5,,,,,92,,,,,,,,,,,,,,,,,,,,,26,1.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1333-08/06,8,26,0.26,0.31,1.63,52,,0.79,120,13.7,,2.7,1.45,6.8,,,,6,19,,,,87,,,,,,87,,,,,,,,,,,,,,,39,12,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1333-08/06 (tweeter),6,1200,,,,,,0.05,7,0.3,,,,2.3,,,,0.5,,,,,88.5,,,,,,88.5,,,,,,,,,,,,,,,26,1.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,h1353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1353-08/06,8,30,0.24,0.29,1.64,42,,0.7,126,13.3,,1.9,1.71,7.8,,,,6,19,,,,87.5,,,,,,87.5,,,,,,,,,,,,,,,39,12,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1353-08/06 (tweeter),6,1200,,,,,,0.05,7,0.3,,,,2.3,,,,0.5,,,,,88.5,,,,,,88.5,,,,,,,,,,,,,,,26,1.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,h1396,4,1170,,,,,2.7,0.03,7.5,0.26,,,,1.9,,,,0.9,,,,,91,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1396-04,4,1170,,,,,2.7,0.03,,0.26,,,,1.9,,,,0.9,,,,,91,,,,,,,,,,,,,,,,,,,,,26,1.1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,h1397,4,1170,,,,,2.7,0.03,7.5,0.3,,,,1.9,,,,0.9,,,,,90,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAS,H1397-04,4,,,,,,2.7,0.03,7.5,0.3,,,,1.9,,,,0.9,,,,,90,,,,,,,,,,,,,,,,,,,,,26,1.1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
